year,raceName,driverName,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,status
2021,Abu Dhabi Grand Prix,Verstappen,1,1,1,1,26.0,58,1:30:17.345,5417345,39,1,1:26.103,220.800,Finished
2021,Abu Dhabi Grand Prix,Hamilton,2,2,2,2,18.0,58,+2.256,5419601,43,3,1:26.615,219.495,Finished
2021,Abu Dhabi Grand Prix,Sainz,5,3,3,3,15.0,58,+5.173,5422518,51,9,1:27.618,216.982,Finished
2021,Abu Dhabi Grand Prix,Tsunoda,8,4,4,4,12.0,58,+5.692,5423037,50,7,1:27.496,217.285,Finished
2021,Abu Dhabi Grand Prix,Gasly,12,5,5,5,10.0,58,+6.531,5423876,49,6,1:27.342,217.668,Finished
2021,Abu Dhabi Grand Prix,Bottas,6,6,6,6,8.0,58,+7.463,5424808,51,5,1:26.862,218.871,Finished
2021,Abu Dhabi Grand Prix,Norris,3,7,7,7,6.0,58,+59.200,5476545,58,4,1:26.762,219.123,Finished
2021,Abu Dhabi Grand Prix,Alonso,11,8,8,8,4.0,58,+1:01.708,5479053,58,8,1:27.607,217.010,Finished
2021,Abu Dhabi Grand Prix,Ocon,9,9,9,9,2.0,58,+1:04.026,5481371,58,10,1:28.249,215.431,Finished
2021,Abu Dhabi Grand Prix,Leclerc,7,10,10,10,1.0,58,+1:06.057,5483402,40,12,1:28.433,214.983,Finished
2021,Abu Dhabi Grand Prix,Pilote Inconnu,15,11,11,11,0.0,58,+1:07.527,5484872,58,11,1:28.303,215.299,Finished
2021,Abu Dhabi Grand Prix,Ricciardo,10,12,12,12,0.0,57,,,48,14,1:28.723,214.280,+1 Lap
2021,Abu Dhabi Grand Prix,Stroll,13,13,13,13,0.0,57,,,48,13,1:28.567,214.657,+1 Lap
2021,Abu Dhabi Grand Prix,Pilote Inconnu,19,14,14,14,0.0,57,,,42,17,1:29.457,212.522,+1 Lap
2021,Abu Dhabi Grand Prix,Pérez,4,15,15,15,0.0,55,,,51,2,1:26.419,219.993,Engine
2021,Abu Dhabi Grand Prix,Pilote Inconnu,16,,R,16,0.0,50,,,30,15,1:29.293,212.912,Accident
2021,Abu Dhabi Grand Prix,Pilote Inconnu,14,,R,17,0.0,33,,,33,16,1:29.442,212.557,Gearbox
2021,Abu Dhabi Grand Prix,Russell,17,,R,18,0.0,26,,,23,19,1:30.647,209.732,Gearbox
2021,Abu Dhabi Grand Prix,Pilote Inconnu,18,,R,19,0.0,25,,,23,18,1:29.698,211.951,Brakes
2021,Abu Dhabi Grand Prix,Pilote Inconnu,20,,W,20,0.0,0,,,,0,,,Illness
