year,raceName,driverName,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,status
2021,Austrian Grand Prix,Verstappen,1,1,1,1,26.0,71,1:23:54.543,5034543,62,1,1:06.200,234.815,Finished
2021,Austrian Grand Prix,Bottas,5,2,2,2,18.0,71,+17.973,5052516,52,6,1:08.374,227.349,Finished
2021,Austrian Grand Prix,Norris,2,3,3,3,15.0,71,+20.019,5054562,62,10,1:08.471,227.027,Finished
2021,Austrian Grand Prix,Hamilton,4,4,4,4,12.0,71,+46.452,5080995,55,3,1:08.126,228.177,Finished
2021,Austrian Grand Prix,Sainz,10,5,5,5,10.0,71,+57.144,5091687,70,2,1:07.762,229.402,Finished
2021,Austrian Grand Prix,Pérez,3,6,6,6,8.0,71,+57.915,5092458,55,5,1:08.192,227.956,Finished
2021,Austrian Grand Prix,Ricciardo,13,7,7,7,6.0,71,+1:00.395,5094938,56,14,1:08.820,225.876,Finished
2021,Austrian Grand Prix,Leclerc,12,8,8,8,4.0,71,+1:01.195,5095738,55,13,1:08.698,226.277,Finished
2021,Austrian Grand Prix,Gasly,6,9,9,9,2.0,71,+1:01.844,5096387,54,4,1:08.146,228.110,Finished
2021,Austrian Grand Prix,Alonso,14,10,10,10,1.0,70,,,70,7,1:08.405,227.246,+1 Lap
2021,Austrian Grand Prix,Russell,8,11,11,11,0.0,70,,,56,16,1:08.900,225.613,+1 Lap
2021,Austrian Grand Prix,Tsunoda,7,12,12,12,0.0,70,,,54,9,1:08.455,227.080,+1 Lap
2021,Austrian Grand Prix,Stroll,9,13,13,13,0.0,70,,,54,12,1:08.659,226.405,+1 Lap
2021,Austrian Grand Prix,Pilote Inconnu,15,14,14,14,0.0,70,,,55,17,1:09.042,225.149,+1 Lap
2021,Austrian Grand Prix,Pilote Inconnu,16,15,15,15,0.0,70,,,69,15,1:08.874,225.699,+1 Lap
2021,Austrian Grand Prix,Pilote Inconnu,18,16,16,16,0.0,70,,,62,11,1:08.520,226.865,+1 Lap
2021,Austrian Grand Prix,Pilote Inconnu,11,17,17,17,0.0,69,,,51,8,1:08.420,227.196,Collision
2021,Austrian Grand Prix,Pilote Inconnu,19,18,18,18,0.0,69,,,56,18,1:09.394,224.007,+2 Laps
2021,Austrian Grand Prix,Pilote Inconnu,20,19,19,19,0.0,69,,,49,19,1:09.757,222.842,+2 Laps
2021,Austrian Grand Prix,Ocon,17,,R,20,0.0,0,,,,0,,,Collision
