year,raceName,driverName,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,status
2024,Bahrain Grand Prix,Verstappen,1,1,1,1,26.0,57,1:31:44.742,5504742,39,1,1:32.608,210.383,Finished
2024,Bahrain Grand Prix,Pérez,5,2,2,2,18.0,57,+22.457,5527199,40,4,1:34.364,206.468,Finished
2024,Bahrain Grand Prix,Sainz,4,3,3,3,15.0,57,+25.110,5529852,44,6,1:34.507,206.156,Finished
2024,Bahrain Grand Prix,Leclerc,2,4,4,4,12.0,57,+39.669,5544411,36,2,1:34.090,207.069,Finished
2024,Bahrain Grand Prix,Russell,3,5,5,5,10.0,57,+46.788,5551530,40,12,1:35.065,204.946,Finished
2024,Bahrain Grand Prix,Norris,7,6,6,6,8.0,57,+48.458,5553200,1,5,1:34.476,206.223,Finished
2024,Bahrain Grand Prix,Hamilton,9,7,7,7,6.0,57,+50.324,5555066,39,7,1:34.722,205.688,Finished
2024,Bahrain Grand Prix,Piastri,8,8,8,8,4.0,57,+56.082,5560824,1,11,1:34.983,205.123,Finished
2024,Bahrain Grand Prix,Alonso,6,9,9,9,2.0,57,+1:14.887,5579629,48,3,1:34.199,206.830,Finished
2024,Bahrain Grand Prix,Stroll,12,10,10,10,1.0,57,+1:33.216,5597958,30,16,1:35.632,203.730,Finished
2024,Bahrain Grand Prix,Zhou,17,11,11,11,0.0,56,,,30,14,1:35.458,204.102,+1 Lap
2024,Bahrain Grand Prix,Magnussen,15,12,12,12,0.0,56,,,34,15,1:35.570,203.863,+1 Lap
2024,Bahrain Grand Prix,Ricciardo,14,13,13,13,0.0,56,,,37,13,1:35.163,204.735,+1 Lap
2024,Bahrain Grand Prix,Tsunoda,11,14,14,14,0.0,56,,,37,18,1:35.833,203.303,+1 Lap
2024,Bahrain Grand Prix,Albon,13,15,15,15,0.0,56,,,40,17,1:35.723,203.537,+1 Lap
2024,Bahrain Grand Prix,Hülkenberg,10,16,16,16,0.0,56,,,46,10,1:34.834,205.445,+1 Lap
2024,Bahrain Grand Prix,Ocon,19,17,17,17,0.0,56,,,34,20,1:36.226,202.473,+1 Lap
2024,Bahrain Grand Prix,Gasly,20,18,18,18,0.0,56,,,45,9,1:34.805,205.508,+1 Lap
2024,Bahrain Grand Prix,Bottas,16,19,19,19,0.0,56,,,33,19,1:36.202,202.523,+1 Lap
2024,Bahrain Grand Prix,Sargeant,18,20,20,20,0.0,55,,,42,8,1:34.735,205.659,+2 Laps
