year,raceName,driverName,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,status
2021,Belgian Grand Prix,Verstappen,1,1,1,1,12.5,1,3:27.071,207071,,0,,,Finished
2021,Belgian Grand Prix,Russell,2,2,2,2,9.0,1,+1.995,209066,,0,,,Finished
2021,Belgian Grand Prix,Hamilton,3,3,3,3,7.5,1,+2.601,209672,,0,,,Finished
2021,Belgian Grand Prix,Ricciardo,4,4,4,4,6.0,1,+4.496,211567,,0,,,Finished
2021,Belgian Grand Prix,Pilote Inconnu,5,5,5,5,5.0,1,+7.479,214550,,0,,,Finished
2021,Belgian Grand Prix,Gasly,6,6,6,6,4.0,1,+10.177,217248,,0,,,Finished
2021,Belgian Grand Prix,Ocon,8,7,7,7,3.0,1,+11.579,218650,,0,,,Finished
2021,Belgian Grand Prix,Leclerc,9,8,8,8,2.0,1,+12.608,219679,,0,,,Finished
2021,Belgian Grand Prix,Pilote Inconnu,10,9,9,9,1.0,1,+15.485,222556,,0,,,Finished
2021,Belgian Grand Prix,Sainz,11,10,10,10,0.5,1,+16.166,223237,,0,,,Finished
2021,Belgian Grand Prix,Alonso,12,11,11,11,0.0,1,+20.590,227661,,0,,,Finished
2021,Belgian Grand Prix,Bottas,13,12,12,12,0.0,1,+22.414,229485,,0,,,Finished
2021,Belgian Grand Prix,Pilote Inconnu,14,13,13,13,0.0,1,+24.163,231234,,0,,,Finished
2021,Belgian Grand Prix,Norris,15,14,14,14,0.0,1,+27.110,234181,,0,,,Finished
2021,Belgian Grand Prix,Tsunoda,16,15,15,15,0.0,1,+28.329,235400,,0,,,Finished
2021,Belgian Grand Prix,Pilote Inconnu,17,16,16,16,0.0,1,+29.507,236578,,0,,,Finished
2021,Belgian Grand Prix,Pilote Inconnu,18,17,17,17,0.0,1,+31.993,239064,,0,,,Finished
2021,Belgian Grand Prix,Pilote Inconnu,0,18,18,18,0.0,1,+36.054,243125,,0,,,Finished
2021,Belgian Grand Prix,Pérez,0,19,19,19,0.0,1,+38.205,245276,,0,,,Finished
2021,Belgian Grand Prix,Stroll,19,20,20,20,0.0,1,+44.108,251179,,0,,,Finished
