year,raceName,driverName,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,status
2024,Canadian Grand Prix,Verstappen,2,1,1,1,25.0,70,1:45:47.927,6347927,70,4,1:15.569,207.751,Finished
2024,Canadian Grand Prix,Norris,3,2,2,2,18.0,70,+3.879,6351806,67,3,1:15.558,207.782,Finished
2024,Canadian Grand Prix,Russell,1,3,3,3,15.0,70,+4.317,6352244,70,2,1:14.895,209.621,Finished
2024,Canadian Grand Prix,Hamilton,7,4,4,4,13.0,70,+4.915,6352842,70,1,1:14.856,209.730,Finished
2024,Canadian Grand Prix,Piastri,4,5,5,5,10.0,70,+10.199,6358126,65,5,1:16.247,205.904,Finished
2024,Canadian Grand Prix,Alonso,6,6,6,6,8.0,70,+17.510,6365437,70,6,1:16.303,205.753,Finished
2024,Canadian Grand Prix,Stroll,9,7,7,7,6.0,70,+23.625,6371552,70,9,1:16.762,204.523,Finished
2024,Canadian Grand Prix,Ricciardo,5,8,8,8,4.0,70,+28.672,6376599,68,12,1:17.076,203.689,Finished
2024,Canadian Grand Prix,Gasly,15,9,9,9,2.0,70,+30.021,6377948,70,11,1:17.013,203.856,Finished
2024,Canadian Grand Prix,Ocon,18,10,10,10,1.0,70,+30.313,6378240,70,10,1:17.012,203.859,Finished
2024,Canadian Grand Prix,Hülkenberg,17,11,11,11,0.0,70,+30.824,6378751,67,8,1:16.683,204.733,Finished
2024,Canadian Grand Prix,Magnussen,14,12,12,12,0.0,70,+31.253,6379180,68,7,1:16.499,205.226,Finished
2024,Canadian Grand Prix,Bottas,0,13,13,13,0.0,70,+40.487,6388414,65,13,1:17.250,203.231,Finished
2024,Canadian Grand Prix,Tsunoda,8,14,14,14,0.0,70,+52.694,6400621,70,14,1:17.309,203.075,Finished
2024,Canadian Grand Prix,Zhou,0,15,15,15,0.0,69,,,68,15,1:17.325,203.033,+1 Lap
2024,Canadian Grand Prix,Sainz,12,,R,16,0.0,52,,,51,17,1:18.957,198.837,Collision
2024,Canadian Grand Prix,Albon,10,,R,17,0.0,52,,,51,18,1:19.359,197.830,Collision
2024,Canadian Grand Prix,Pérez,16,,R,18,0.0,51,,,51,16,1:18.819,199.185,Accident
2024,Canadian Grand Prix,Leclerc,11,,R,19,0.0,40,,,39,19,1:26.012,182.528,Engine
2024,Canadian Grand Prix,Sargeant,13,,R,20,0.0,23,,,19,20,1:26.484,181.531,Accident
