year,raceName,driverName,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,status
2024,Chinese Grand Prix,Verstappen,1,1,1,1,25.0,56,1:40:52.554,6052554,33,2,1:38.406,199.414,Finished
2024,Chinese Grand Prix,Norris,4,2,2,2,18.0,56,+13.773,6066327,1,4,1:38.751,198.717,Finished
2024,Chinese Grand Prix,Pérez,2,3,3,3,15.0,56,+19.160,6071714,33,7,1:39.388,197.444,Finished
2024,Chinese Grand Prix,Leclerc,6,4,4,4,12.0,56,+23.623,6076177,33,6,1:39.384,197.452,Finished
2024,Chinese Grand Prix,Sainz,7,5,5,5,10.0,56,+33.983,6086537,19,10,1:39.764,196.700,Finished
2024,Chinese Grand Prix,Russell,8,6,6,6,8.0,56,+38.724,6091278,39,11,1:40.112,196.016,Finished
2024,Chinese Grand Prix,Alonso,3,7,7,7,7.0,56,+43.414,6095968,45,1,1:37.810,200.629,Finished
2024,Chinese Grand Prix,Piastri,5,8,8,8,4.0,56,+56.198,6108752,1,9,1:39.739,196.749,Finished
2024,Chinese Grand Prix,Hamilton,18,9,9,9,2.0,56,+57.986,6110540,34,14,1:40.835,194.610,Finished
2024,Chinese Grand Prix,Hülkenberg,9,10,10,10,1.0,56,+1:00.476,6113030,32,13,1:40.815,194.649,Finished
2024,Chinese Grand Prix,Ocon,13,11,11,11,0.0,56,+1:02.812,6115366,33,15,1:40.937,194.414,Finished
2024,Chinese Grand Prix,Albon,14,12,12,12,0.0,56,+1:05.506,6118060,34,12,1:40.790,194.697,Finished
2024,Chinese Grand Prix,Gasly,15,13,13,13,0.0,56,+1:09.223,6121777,40,5,1:39.198,197.822,Finished
2024,Chinese Grand Prix,Zhou,16,14,14,14,0.0,56,+1:11.689,6124243,42,3,1:38.633,198.955,Finished
2024,Chinese Grand Prix,Stroll,11,15,15,15,0.0,56,+1:22.786,6135340,37,8,1:39.444,197.333,Finished
2024,Chinese Grand Prix,Magnussen,17,16,16,16,0.0,56,+1:27.533,6140087,45,18,1:41.077,194.145,Finished
2024,Chinese Grand Prix,Sargeant,20,17,17,17,0.0,56,+1:35.110,6147664,14,17,1:41.000,194.293,Finished
2024,Chinese Grand Prix,Ricciardo,12,,R,18,0.0,33,,,16,16,1:40.994,194.304,Retired
2024,Chinese Grand Prix,Tsunoda,19,,R,19,0.0,26,,,11,20,1:41.593,193.158,Retired
2024,Chinese Grand Prix,Bottas,10,,R,20,0.0,19,,,11,19,1:41.276,193.763,Retired
