year,raceName,driverName,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,status
2023,Las Vegas Grand Prix,Verstappen,2,1,1,1,25.0,50,1:29:08.289,5348289,44,2,1:35.614,233.476,Finished
2023,Las Vegas Grand Prix,Leclerc,1,2,2,2,18.0,50,+2.070,5350359,50,3,1:35.669,233.342,Finished
2023,Las Vegas Grand Prix,Pérez,11,3,3,3,15.0,50,+2.241,5350530,40,5,1:35.939,232.685,Finished
2023,Las Vegas Grand Prix,Ocon,16,4,4,4,12.0,50,+18.665,5366954,47,10,1:36.637,231.004,Finished
2023,Las Vegas Grand Prix,Stroll,19,5,5,5,10.0,50,+20.067,5368356,45,9,1:36.584,231.131,Finished
2023,Las Vegas Grand Prix,Sainz,12,6,6,6,8.0,50,+20.834,5369123,47,6,1:35.984,232.576,Finished
2023,Las Vegas Grand Prix,Hamilton,10,7,7,7,6.0,50,+21.755,5370044,48,4,1:35.716,233.227,Finished
2023,Las Vegas Grand Prix,Russell,3,8,8,8,4.0,50,+23.091,5371380,44,7,1:36.071,232.365,Finished
2023,Las Vegas Grand Prix,Alonso,9,9,9,9,2.0,50,+25.964,5374253,42,8,1:36.559,231.191,Finished
2023,Las Vegas Grand Prix,Piastri,18,10,10,10,2.0,50,+29.496,5377785,47,1,1:35.490,233.779,Finished
2023,Las Vegas Grand Prix,Gasly,4,11,11,11,0.0,50,+34.270,5382559,37,11,1:36.913,230.346,Finished
2023,Las Vegas Grand Prix,Albon,5,12,12,12,0.0,50,+43.398,5391687,50,13,1:37.357,229.296,Finished
2023,Las Vegas Grand Prix,Magnussen,8,13,13,13,0.0,50,+44.825,5393114,50,15,1:37.455,229.065,Finished
2023,Las Vegas Grand Prix,Ricciardo,14,14,14,14,0.0,50,+48.525,5396814,50,12,1:37.108,229.884,Finished
2023,Las Vegas Grand Prix,Zhou,17,15,15,15,0.0,50,+50.162,5398451,32,14,1:37.375,229.253,Finished
2023,Las Vegas Grand Prix,Sargeant,6,16,16,16,0.0,50,+50.882,5399171,32,19,1:37.740,228.397,Finished
2023,Las Vegas Grand Prix,Bottas,7,17,17,17,0.0,50,+1:25.350,5433639,49,16,1:37.562,228.814,Finished
2023,Las Vegas Grand Prix,Tsunoda,20,18,18,18,0.0,46,,,45,18,1:37.587,228.755,Gearbox
2023,Las Vegas Grand Prix,Hülkenberg,13,19,19,19,0.0,45,,,43,17,1:37.565,228.807,Engine
2023,Las Vegas Grand Prix,Norris,15,,R,20,0.0,2,,,2,20,1:59.327,187.079,Accident
