year,raceName,driverName,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,status
2023,Saudi Arabian Grand Prix,Pérez,1,1,1,1,25.0,50,1:21:14.894,4874894,38,2,1:32.188,241.098,Finished
2023,Saudi Arabian Grand Prix,Verstappen,15,2,2,2,19.0,50,+5.355,4880249,50,1,1:31.906,241.838,Finished
2023,Saudi Arabian Grand Prix,Alonso,2,3,3,3,15.0,50,+20.728,4895622,50,3,1:32.240,240.962,Finished
2023,Saudi Arabian Grand Prix,Russell,3,4,4,4,12.0,50,+25.866,4900760,50,4,1:32.433,240.459,Finished
2023,Saudi Arabian Grand Prix,Hamilton,7,5,5,5,10.0,50,+31.065,4905959,47,6,1:32.941,239.145,Finished
2023,Saudi Arabian Grand Prix,Sainz,4,6,6,6,8.0,50,+35.876,4910770,50,5,1:32.822,239.451,Finished
2023,Saudi Arabian Grand Prix,Leclerc,12,7,7,7,6.0,50,+43.162,4918056,47,7,1:33.056,238.849,Finished
2023,Saudi Arabian Grand Prix,Ocon,6,8,8,8,4.0,50,+52.832,4927726,49,8,1:33.222,238.424,Finished
2023,Saudi Arabian Grand Prix,Gasly,9,9,9,9,2.0,50,+54.747,4929641,50,10,1:33.392,237.990,Finished
2023,Saudi Arabian Grand Prix,Magnussen,13,10,10,10,1.0,50,+1:04.826,4939720,44,9,1:33.374,238.036,Finished
2023,Saudi Arabian Grand Prix,Tsunoda,16,11,11,11,0.0,50,+1:07.494,4942388,50,14,1:33.931,236.624,Finished
2023,Saudi Arabian Grand Prix,Hülkenberg,10,12,12,12,0.0,50,+1:10.588,4945482,50,12,1:33.780,237.005,Finished
2023,Saudi Arabian Grand Prix,Zhou,11,13,13,13,0.0,50,+1:16.060,4950954,49,13,1:33.894,236.718,Finished
2023,Saudi Arabian Grand Prix,Pilote Inconnu,18,14,14,14,0.0,50,+1:17.478,4952372,49,11,1:33.609,237.438,Finished
2023,Saudi Arabian Grand Prix,Piastri,8,15,15,15,0.0,50,+1:25.021,4959915,48,16,1:34.287,235.731,Finished
2023,Saudi Arabian Grand Prix,Sargeant,20,16,16,16,0.0,50,+1:26.293,4961187,49,18,1:34.469,235.277,Finished
2023,Saudi Arabian Grand Prix,Norris,19,17,17,17,0.0,50,+1:26.445,4961339,49,15,1:34.122,236.144,Finished
2023,Saudi Arabian Grand Prix,Bottas,14,18,18,18,0.0,49,,,37,17,1:34.384,235.489,+1 Lap
2023,Saudi Arabian Grand Prix,Albon,17,,R,19,0.0,27,,,24,20,1:35.567,232.574,Brakes
2023,Saudi Arabian Grand Prix,Stroll,5,,R,20,0.0,16,,,7,19,1:35.140,233.617,Engine
